,Author,Book,Filename,Year
2013,DÃ©sirÃ© Charnay,The Ancient Cities of the New World,b'45656-0.txt',1857
8039,Robert Hugh Benson,Lourdes,b'18729-0.txt',1914
5924,George Ade,People You Know,b'13543-8.txt',1903
6546,Clyde Fitch,Her Own Way,b'16198-8.txt',1907
424,Duc de Saint-Simon,"The Memoirs of Louis XIV., Volume 1",b'3860.txt',1720
1609,Various,"Notes & Queries, No. 4, Saturday, November 24, 1849",b'13513-8.txt',1849
958,Honore de Balzac,The Marriage Contract,b'1556.txt',1813
9387,Susan Carleton Jones,The La Chance Mine Mystery,b'27209-8.txt',1920
6723,H. Rider Haggard,The Yellow God,b'2857-8.txt',1908
9893,G.K. Chesterton,What's Wrong With The World,b'1717.txt',1927
9659,Basil Mathews,The Book of Missionary Heroes,b'16657-8.txt',1922
3493,Various,The San Francisco Calamity,b'1560.txt',1883
7242,Lanoe Falconer,Cecilia de Noel,b'15258.txt',1910
10025,Floyd L. Wallace,Mezzerow Loves Company,b'22319.txt',1956
2627,Anthony Hope,A Man of Mark,b'11063-8.txt',1869
2288,James Knowles,The Legends Of King Arthur And His Knights,b'12753-8.txt',1862
6469,Lilian Bell,At Home with the Jardines,b'18895-8.txt',1906
8204,J. J. Bell,Wee Macgreegor Enlists,b'12269.txt',1915
7622,Michael Barrett,Up in Ardmuirland,b'17453-8.txt',1912
9480,Charles Kenneth Howard-Bury,"Mount Everest the Reconnaissance, 1921",b'39421-8.txt',1921
7407,Jeannette Marks,A Girl's Student Days and After,b'18234-8.txt',1911
672,William Hutton,An History of Birmingham (1783),b'13926-8.txt',1783
5298,Edmond Rostand,The Romancers,b'17581.txt',1899
9624,Various,The Best Short Stories of 1921 and the Yearbook of the American Short Story,b'18709-8.txt',1921
7981,James Alexander Kilpatrick,Tommy Atkins at War,b'16675-8.txt',1914
3526,Various,"The Mirror of Literature, Amusement, and Instruction, No. 360",b'13644-8.txt',1883
1156,Karl Marx,The Eighteenth Brumaire of Louis Bonaparte,b'1346.txt',1830
9142,Pat Beauchamp,Fanny Goes to War,b'16521-8.txt',1919
8628,Eugene Manlove Rhodes,Copper Streak Trail,b'14545-8.txt',1917
5394,Unknown,Andreas: The Legend of St. Andrew,b'15225-8.txt',1899
967,Honore de Balzac,Cousin Betty,b'1749.txt',1814
1284,Thomas Mitchell,"Three Expeditions into the Interior of Eastern Australia, Vol 2 (of 2)",b'13033.txt',1836
5626,Charles Hemstreet,The Story of Manhattan,b'13842-8.txt',1901
2851,Macmillan &  Co.,Macmillan & Co.'s Catalogue. April 1888,b'39464-8.txt',1873
8317,âAbduâl-BahÃ¡,Selections from the Writings of âAbduâl-BahÃ¡,b'19287-0.txt',1916
8438,Hugo Münsterberg,The Photoplay,b'15383-8.txt',1916
8862,Fannie  Hurst,Gaslight Sonatas,b'10025-8.txt',1918
1735,William Wordsworth,The Prose Works of William Wordsworth,b'16550-8.txt',1850
8329,'Abdu'l-Baha,Selections from the Writings of 'Abdu'l-Baha,b'19287.txt',1916
6497,Thomas a Kempis,The Chronicle of the Canons Regular of Mount St. Agnes,b'16759.txt',1906
9584,Octavus Roy Cohen,Midnight,b'11043-8.txt',1921
9754,Isabel Ecclestone Mackay,Fires of Driftwood,b'12475.txt',1922
1361,Orville Dewey,"Autobiography and Letters of Orville Dewey, D.D.",b'18956.txt',1839
7811,John F. Runciman,Wagner,b'14441-8.txt',1913
3535,Various,"The Mirror of Literature, Amusement, and Instruction, No. 492",b'13108-8.txt',1883
5935,Harry Leon Wilson,The Lions of the Lord,b'11534-8.txt',1903
988,Matilda Betham,The Lay of Marie,b'11857-8.txt',1816
10132,John Moncure Wetterau,Joe Burke's Last Stand,b'11004.txt',2000
2322,Fearing Burr,The Field and Garden Vegetables of America,b'21682-8.txt',1863
7108,Apsley Cherry-Garrard,"The Worst Journey in the World, Volumes 1 and 2",b'14363-8.txt',1910
1953,Samuel White Baker,Eight Years' Wandering in Ceylon,b'2036-8.txt',1855
9104,John Maynard Keynes,The Economic Consequences of the Peace,b'15776-8.txt',1919
3086,Various,Parks for the People,b'26084-8.txt',1876
6876,Gertrude Stein,Matisse Picasso and Gertrude Stein,b'15600.txt',1909
8128,Arthur Stringer,The Prairie Wife,b'18875-8.txt',1915
4944,James Baldwin,Fifty Famous Stories Retold,b'18442-8.txt',1896
7095,"Alexandre Dumas, Pere",The Marquise de Brinvilliers,b'2756.txt',1910
1332,Honore de Balzac,Catherine de' Medici,b'1854.txt',1839
2875,Various,"Lippincott's Magazine. Vol. XII, No. 33. December, 1873.",b'13770-8.txt',1873
8609,Cyril Burleigh,The Hilltop Boys on the River,b'12943.txt',1917
5700,Miles Franklin,My Brilliant Career,b'11620.txt',1901
9269,E.R. Murray and Henrietta Brown Smith,The Child Under Eight,b'10042-8.txt',1920
8501,Louis Raemaekers,Raemaekers' Cartoons,b'19126-8.txt',1916
4268,Arthur Schopenhauer,The Art of Literature,b'10714-8.txt',1891
5753,Arthur M. Winfield,The Rover Boys In The Mountains,b'13455.txt',1902
8061,Thomas J. Wise,A Bibliography of the writings in Prose and Verse of George Henry Borrow,b'25939.txt',1914
8792,Various,"World's War Events, Vol. II",b'25963-8.txt',1917
7284,Various,Harvard Classics Volume 28,b'21962-8.txt',1910
990,Sir Walter Scott,"Old Mortality, Illustrated, Volume 1.",b'6939.txt',1816
322,Isaac Barrow,Sermons on Evil-Speaking,b'10274.txt',1670
8002,Lascelles Abercrombie,The Epic,b'10716-8.txt',1914
4259,William Sharp,Life of Robert Browning,b'14476-8.txt',1890
3255,Charles Dudley Warner,Modern Fiction,b'3120.txt',1880
3093,Edited by Professor Arber and Thomas Seccombe,An English Garner,b'10489-8.txt',1877
10141,Cory Doctorow,Eastern Standard Tribe,b'17028.txt',2005
4412,William Douglas Morrison,Crime and Its Causes,b'15803-8.txt',1891
7131,E. W. (Ernest William) Hornung,Stingaree,b'26526-8.txt',1910
4425,Charles Dudley Warner,"The Pilgrim, And The American Of Today--(1892)",b'3112.txt',1892
5384,Roswell Martin Field and Eugene Field,Echoes from the Sabine Farm,b'13885-8.txt',1899
1904,Mór Jókai,Halil the Pedlar,b'17597-8.txt',1854
8186,George Helgesen Fitch,Homeburg Memories,b'19196-8.txt',1915
9917,Levi Leonard Conant,The Number Concept,b'16449-8.txt',1931
9066,Gordon Holmes,The House 'Round the Corner,b'39432-8.txt',1919
5351,James Milne,The Romance of a Pro-Consul,b'16928.txt',1899
3164,Randolph Caldecott,The House That Jack Built,b'12109.txt',1878
7433,Martha Idell Fletcher Bellinger,The Stolen Singer,b'17495-8.txt',1911
6957,Ralph Connor,Glengarry Schooldays,b'3243.txt',1909
8511,Molly Elliot Seawell,Betty at Fort Blizzard,b'18022-8.txt',1916
3920,Honore de Balzac,The Alkahest,b'1453.txt',1887
3172,Various,"St. Nicholas Magazine for Boys and Girls, Vol. 5, Nov 1877-Nov 1878",b'16123-8.txt',1878
439,Daniel Defoe,The History of the Remarkable Life of John Sheppard,b'14065.txt',1724
4799,Ida B. Wells-Barnett,The Red Record,b'14977-8.txt',1895
4301,Henry Jones,Browning as a Philosophical and Religious Teacher,b'13561-8.txt',1891
3773,Henry M. Brooks,"The Olden Time Series, Vol. 1: Curiosities of the Old Lottery",b'17970-8.txt',1886
1815,Martin R. Delany,"The Condition, Elevation, Emigration, and Destiny of the Colored People of the United States",b'17154-8.txt',1852
9024,Compiled by Gwendolen H. Swinburne,A Source Book Of Australian History,b'15337-0.txt',1919
196,Thomas Dekker,The Noble Spanish Soldier,b'16753-8.txt',1634
9124,Louis Tracy,The Strange Case of Mortimer Fenley,b'26447-8.txt',1919
3917,Henry Wadsworth Longfellow,The Wreck of the Hesperus,b'13830-8.txt',1887
2595,Anna E. Dickinson,What Answer?,b'15402-8.txt',1868
694,Charles M. Skinner,On The Pacific Slope,b'6613.txt',1786
1434,Various,"Prairie Farmer, Vol. 56: No. 1, January 5, 1884.",b'17512-8.txt',1841
2226,Dr. John Doran,Memoir of Queen Adelaide,b'35182-8.txt',1861
1038,Anonymous,Infant's Cabinet of Birds & Beasts,b'23398.txt',1820
2425,Anonymous,Ride A Cock-Horse To Banbury Cross & A Farmer Went Trotting Upon His Grey Mare,b'18596.txt',1865
5598,William Morris,Poems By The Way & Love Is Enough,b'15311.txt',1900
7783,Harold Speed,The Practice and Science Of Drawing,b'14264-8.txt',1913
8656,Harriet T. Comstock,The Man Thou Gavest,b'14858.txt',1917
1425,Various,"Punch, or the London Charivari, Vol. 1, October 30, 1841",b'14934-8.txt',1841
882,Charles James Lever,"The Confessions of Harry Lorrequer, Vol. 2",b'5235.txt',1806
8220,Joseph Conrad,Victory,b'6378.txt',1915
5468,Erskine Childers,In the Ranks of the C.I.V.,b'13235-8.txt',1900
2056,Anonymous,"Persian Literature, Volume 1,Comprising The Shah Nameh, The",b'10315-8.txt',1858
3182,W. H. G. Kingston,In the Rocky Mountains,b'19419-8.txt',1878
6166,Joseph Conrad,Some Reminiscences,b'1316.txt',1904
7175,Grace MacGowan Cooke,The Power and the Glory,b'10068-8.txt',1910
4129,Adolf Bandelier,The Delight Makers,b'18310-8.txt',1890
5974,Margaret Sidney,Five Little Peppers at School,b'26122-8.txt',1903
9192,Various,Cambridge Essays on Education,b'13548-8.txt',1919
2744,Jacob Abbott,Gentle Measures in the Management and Training of the Young,b'11667.txt',1871
3206,John McElroy,"Andersonville, Volume 1",b'4257.txt',1879
3751,Cassiodorus (AKA Magnus Aurelius Cassiodorus Senator),The Letters of Cassiodorus,b'18590-8.txt',1886
5372,Mary E. Wilkins Freeman,The Jamesons,b'17792.txt',1899
8437,Hugh  Walpole,The Dark Forest,b'19614-8.txt',1916
7575,J. Henri Fabre,The Life of the Spider,b'1887.txt',1912
285,Samuel Pepys,"Diary of Samuel Pepys, August/September 1666",b'4167.txt',1666
4586,John Kendrick Bangs,Coffee and Repartee,b'18207-8.txt',1893
7263,Richard Bitmead,French Polishing and Enamelling,b'17935-8.txt',1910
2889,Ambrose Bierce (AKA: Dod Grile),Cobwebs From an Empty Skull,b'12793-8.txt',1874
364,Marcus Tullius Cicero,Cato Maior de Senectute,b'14945-0.txt',1693
8522,Patrick MacGill,The Red Horizon,b'19710-8.txt',1916
6253,Cal Stewart,Uncles Josh's Punkin Centre Stories,b'970.txt',1905
6762,Mary Johnston,Lewis Rand,b'14697-8.txt',1908
2728,Blanchard Jerrold,The Cockaynes in Paris,b'18327-8.txt',1871
9119,Lawrence J. Leslie,At Whispering Pine Lodge,b'10211.txt',1919
510,Samuel Richardson,"Clarissa, Volume 5 (of 9)",b'10799-8.txt',1741
838,Sir Walter Scott,Bride of Lammermoor,b'471.txt',1800
8379,Donald Hankey,A Student in Arms,b'14823-8.txt',1916
2282,Emile Gaboriau,The Widow Lerouge,b'3802.txt',1862
8647,Grace Livingston Hill Lutz,The Witness,b'16502-8.txt',1917
691,Charles M. Skinner,Tales Of Puritan Land,b'6609.txt',1786
4445,H. Rider Haggard,Montezuma's Daughter,b'1848.txt',1892
1722,Various,"Notes and Queries, Number 51, October 19, 1850",b'15232-8.txt',1850
9576,Mary Roberts Rinehart,More Tish,b'19851-8.txt',1921
674,Max Rothschild,Gainsborough,b'39416-8.txt',1784
5557,Rosa Mulholland,Hetty Gray,b'15538.txt',1900
2962,John Forrest,Explorations in Australia,b'9958.txt',1875
3877,William Dean Howells,Some Anomalies of the Short Story,b'3384.txt',1886
7432,Marie de France,French Mediaeval Romances from the Lays of Marie de France,b'11417-8.txt',1911
6139,Gustave Flaubert,Over Strand and Field,b'14233-8.txt',1904
6453,Horatio Alger Jr.,Joe The Hotel Boy,b'528.txt',1906
3994,H. Rider Haggard,Maiwa's Revenge,b'2713-8.txt',1888
1866,Henry C. Carey,Letters on International Copyright; Second Edition,b'14295-8.txt',1853
8149,E. Phillips Oppenheim,The Black Box,b'17197-8.txt',1915
1570,Edwin Bryant,What I Saw in California,b'13002-8.txt',1848
5032,Frank Richard Stockton,Buccaneers and Pirates of Our Coasts,b'17188-8.txt',1897
5425,Arnold Bennett,Hilda Lessways,b'10658-8.txt',1900
5968,Louis J. Stellman,Said the Observer,b'12832-8.txt',1903
4470,Pleasant A. Stovall,Robert Toombs,b'26069-8.txt',1892
1276,Robert Huish,Lander's Travels,b'12667-8.txt',1836
9323,Jan Kochanowski,Laments,b'27179.txt',1920
8783,Various,"Punch, or the London Charivari, Vol. 152, May 9, 1917",b'15330-8.txt',1917
597,Editor: James D. Richardson,A Compilation of Messages and Letters of the Presidents,b'10879-8.txt',1767
1716,Various,"Notes & Queries, No. 26. Saturday, April 27, 1850",b'13822-8.txt',1850
4720,Richard Harding Davis,The Exiles and Other Stories,b'16090-8.txt',1894
14,Dante Alighieri,"The Vision of Hell, Part 9, Translated By The Rev. H. F. Cary,",b'8787.txt',1484
4366,Various,"Punch, Or The London Charivari, Vol. 100, June 20, 1891",b'13422-8.txt',1891
7158,Frank V. Webster,Comrades of the Saddle,b'11890.txt',1910
7452,Roget,Roget's Thesaurus of English Words and Phrases: Index,b'10681-index.txt',1911
9756,J. S. Fletcher,The Rayner-Slade Amalgamation,b'10443-8.txt',1922
6050,Winston Churchill,"Richard Carvel, Volume 2",b'5366.txt',1903
6365,Walter C. Runciman,"Gas and Oil Engines, Simply Explained",b'27286-8.txt',1905
5565,Selma Lagerlof,The Emperor of Portugallia,b'14356-8.txt',1900
7041,W.W. Jacobs,Captain Rogers,b'12127.txt',1909
8441,Irvin Shrewsbury Cobb,"Fibble, D. D.",b'27154-8.txt',1916
8903,Laura Lee Hope,Bunny Brown and His Sister Sue and Their Shetland Pony,b'19565.txt',1918
1354,Honore de Balzac,The Atheist's Mass,b'1220.txt',1839
3661,W. E. Penn,There is No Harm in Dancing,b'14183.txt',1884
1402,John Lord,"Beacon Lights of History, Volume X",b'10641-8.txt',1841
2690,James Edward Austen-Leigh,Memoir of Jane Austen,b'17797.txt',1870
7817,Joseph A. Altsheler,The Texan Scouts,b'15767-8.txt',1913
9150,Robert T. Browne,The Mystery of Space,b'45691-8.txt',1919
8750,Various,"Punch, or the London Charivari, Vol. 153, Aug 15, 1917",b'11169-8.txt',1917
8790,Various,"Punch, or the London Charivari, Vol. 152, May 30, 1917",b'17634-8.txt',1917
2592,A.M. Sullivan,The Wearing of the Green,b'12853-8.txt',1868
8283,Various,"New York Times Current History: The European War, Vol 2, No. 1, April, 1915",b'15478-8.txt',1915
9983,Lee Tarbell,Valley of the Croen,b'26010.txt',1949
4994,William George Laurence Beynon,With Kelly to Chitral,b'10603-8.txt',1896
2914,John Charles McNeill,"Songs, Merry and Sad",b'1847.txt',1874
8983,William MacLeod Raine,The Vision Spendid,b'1846.txt',1918
527,The Earl of Chesterfield,"Letters to His Son, 1748",b'3352.txt',1748
9484,Clutha N. Mackenzie,The Tale of a Trooper,b'26548-8.txt',1921
6425,Elizabeth Gaskell,The Life of Charlotte Bronte - Volume 1,b'1827.txt',1906
9033,Edgar A. Guest,The Path to Home,b'21890.txt',1919
1646,James Lane Allen,A Kentucky Cardinal,b'11532.txt',1850
4527,Various,"Punch, Or The London Charivari, Vol. 103, October 15, 1892",b'15453-8.txt',1892
4015,Mary Louisa Stewart Molesworth,A Christmas Posy,b'26015-8.txt',1888
2881,Various,"The Aldine, Vol. 5, No. 1., January, 1872",b'15092-8.txt',1873
1291,George Grey,"Journals Of Two Expeditions Of Discovery In North-West And Western Australia, Vol. 1 (of 2)",b'16027.txt',1837
1968,Austin Steward,"Twenty-Two Years a Slave, and Forty Years a Freeman",b'11137.txt',1856
1500,Moses Grandy,"Narrative of the Life of Moses Grandy, Late a Slave in the United States of America",b'15036.txt',1844
4021,Reuben Briggs Davenport,The Death-Blow to Spiritualism,b'33506-8.txt',1888
998,Sir Walter Scott,"The Heart of Mid-Lothian, Complete, Illustrated",b'6944.txt',1817
4848,Thomson Willing,Some Old Time Beauties,b'16079-8.txt',1895
27,Thomas Aquinas,"Summa Theologica, Part I (Prima Pars)",b'17611.txt',1485
4311,John Wesley Powell,Wyandot Government: A Short Study of Tribal Society,b'16947-0.txt',1891
6819,Alice Meynell,Ceres' Runaway,b'1295.txt',1909
6960,Richard von Garbe,"Akbar, Emperor of India",b'14134-8.txt',1909
7044,W.W. Jacobs,An Adulteration Act,b'12130.txt',1909
532,The Earl of Chesterfield,"Letters to His Son, 1749",b'3353.txt',1749
5182,George Meredith,The Complete Project Gutenberg Works of George Meredith,b'4500.txt',1898
3218,Randolph Caldecott,Hey Diddle Diddle and Baby Bunting,b'19177.txt',1879
2854,Mark Twain (Samuel Clemens) and Charles Dudley Warner,"The Gilded Age, Part 1.",b'5818.txt',1873
1147,Honore de Balzac,A Start in Life,b'1403.txt',1830
3058,Mark Twain (Samuel Clemens),"A Connecticut Yankee in King Arthur's Court, Part 9.",b'7250.txt',1876
3868,William Dean Howells,"A Hazard of New Fortunes, Part Fifth",b'3370.txt',1886
9503,Frank Lee Woodward,The Buddha's Path of Virtue,b'35185-8.txt',1921
2995,Charles Duke Yonge,"The Life of Marie Antoinette, Queen of France",b'10555-8.txt',1876
159,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 41",b'5944.txt',1615
10100,"Sir Owen Woodhouse, R. B. Cooke, Ivor L. M. Richardson, Duncan",Judgments of the Court of Appeal of New Zealand on Proceedings to Review Aspects of the Report of the Royal Commission of Inquiry into the Mount Erebus Aircraft Disaster,b'16130-8.txt',1981
9607,Shepherd Knapp,Up the Chimney,b'14786.txt',1921
7567,Herbert Allen Giles,China and the Manchus,b'2156-8.txt',1912
9693,Edison Marshall,The Sky Line of Spruce,b'11402-8.txt',1922
4252,Various,Ideal Commonwealths,b'18638-0.txt',1890
1214,Honore de Balzac,The Napoleon of the People,b'7958.txt',1832
6040,Winston Churchill,"The Inside of the Cup, Volume 1",b'5356.txt',1903
6835,Benjamin Leonard D'Ooge,Latin for Beginners,b'18251-0.txt',1909
3873,William Dean Howells,Staccato Notes of a Vanished Summer,b'3380.txt',1886
5579,Various,"In the Yule-Log Glow, Book II",b'19084-8.txt',1900
2363,Charles Dudley Warner,Equality,b'3118.txt',1864
2357,Alex St. Clair Abrams,The Trials of the Soldier's Wife,b'17955-8.txt',1864
7815,John R. Lynch,The Facts of Reconstruction,b'16158-8.txt',1913
3062,Mark Twain (Samuel Clemens),"Life On The Mississippi, Part 4.",b'8474.txt',1876
792,Frederich Schiller,The Project Gutenberg Works of Frederich Schiller in English,b'6800.txt',1798
2846,John Jenkins,The Poetry of Wales,b'18523.txt',1873
8991,Adoniram Judson Ladd,On the Firing Line in Education,b'21762-8.txt',1919
7723,Don C. Seitz,Whistler Stories,b'13973.txt',1913
7624,Mrs. Wilson Woodrow,The Black Pearl,b'17418-8.txt',1912
7686,A. T. Mahan,The Major Operations of the Navies in the War of American Independence,b'16602-8.txt',1913
923,John Buffa,Travels through the Empire of Morocco,b'11297-0.txt',1810
7895,Alice Meynell,Essays,b'1434.txt',1914
1644,James Barber,The Overland Guide-book,b'45706-8.txt',1850
487,Martin Luther,Concerning Christian Liberty,b'1911.txt',1729
907,William Beatty,The Death of Lord Nelson,b'15233-8.txt',1807
431,Duc de Saint-Simon,"The Memoirs of Louis XIV., Volume 10",b'3869.txt',1720
1362,Samuel Taylor Coleridge,"Coleridge's Literary Remains, Volume 4.",b'10801-8.txt',1839
8546,Translated by Martha Gilbert Dickinson Bianchi,Russian Lyrics,b'11985-8.txt',1916
7902,Booth Tarkington,Penrod,b'402.txt',1914
9653,Apolinario Mabini,Mabini's Decalogue for Filipinos,b'14660.txt',1922
3914,Henry Charles Lea,A History of The Inquisition of The Middle Ages; volume I,b'39451-0.txt',1887
6590,John Reed Scott,Beatrix of Clare,b'17100-8.txt',1907
7153,Finley Dunne,Mr. Dooley Says,b'14684.txt',1910
8977,Willa Sibert Cather,My Antonia,b'19810.txt',1918
3711,"U. S. Grant, W. T. Sherman, P. H. Sheridan","Memoirs of Three Civil War Generals, Complete",b'4546.txt',1885
3522,Various,"The Mirror of Literature, Amusement, and Instruction, No. 358",b'12898-8.txt',1883
2790,George MacDonald,Alec Forbes of Howglen,b'18810-0.txt',1872
9995,Henry Beam Piper,Operation R.S.V.P.,b'18261.txt',1951
7591,Joseph A. Altsheler,The Texan Star,b'15852-8.txt',1912
8996,Angelo Hall,Forty-one Thieves,b'19695-8.txt',1919
6965,Robert W. Chambers,The Danger Mark,b'18185-8.txt',1909
7852,R. Murray Gilchrist,The Dukeries,b'26486-8.txt',1913
10047,Everett B. Cole,The Best Made Plans,b'22892.txt',1959
7312,C. N. Williamson and A. M. Williamson,The Golden Silence,b'19108-8.txt',1911
3384,Various,"The Nursery, No. 169, January, 1881, Vol. XXIX",b'17536.txt',1881
2605,F. Colburn Adams,The Von Toodleburgs,b'18549-8.txt',1868
1544,Judith Cohen Montefiore,The Jewish Manual,b'12327-8.txt',1846
5848,Theodore Ledyard Cuyler,Recollections of a Long Life,b'12549-8.txt',1902
8276,Thomas R. Allinson,The Allinson Vegetarian Cookery Book,b'13887-8.txt',1915
8021,May Sinclair,The Three Sisters,b'11876-8.txt',1914
94,Richard Field,A Svmmarie and Trve Discovrse of Sir Frances Drakes VVest Indian Voyage,b'19589-8.txt',1589
84,Michel de Montaigne,"The Essays of Montaigne, Volume 18",b'3598.txt',1580
6269,E. W. Hornung,A Thief in the Night,b'2098-8.txt',1905
5014,Anonymous,Vocations Explained,b'31311-8.txt',1897
5243,Stanley John Weyman,The Castle Inn,b'11918-8.txt',1898
9802,Mrs. Leighton,Fleur and Blanchefleur,b'14628-8.txt',1922
592,Jonathan Swift,"The Poems of Jonathan Swift, D.D., Volume I (of 2)",b'14353-8.txt',1765
8731,Sewell Ford,The House of Torchy,b'21882-8.txt',1917
843,"Thomas Garnett, M.D.",A Lecture on the Preservation of Health,b'18376.txt',1800
7781,Harold Bindloss,Prescott of Saskatchewan,b'25916.txt',1913
133,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 15.",b'5917.txt',1615
3484,Unknown,The Story of the Three Little Pigs,b'18155.txt',1883
4901,Edward W. Naylor,Shakespeare and Music,b'19676-8.txt',1896
9469,Bruce Fink and Leafy J. Corrington,"Ohio Biological Survey, Bull. 10, Vol. 11, No. 6",b'18754.txt',1921
8678,James A. Cooper,"Cap'n Abe, Storekeeper",b'13982.txt',1917
5149,A.H. Laidlaw,Soldier Songs and Love Songs,b'14869-8.txt',1898
3300,Mark Twain (Samuel Clemens),"Roughing It, Part 2.",b'8583.txt',1880
6592,Joseph Conrad,The Secret Agent,b'974.txt',1907
4504,Various,"Punch Volume 102, May 28, 1892",b'14690-8.txt',1892
9772,John Hugh Bowers,Life of Abraham Lincoln,b'19404.txt',1922
4394,Various,"Punch, Or The London Charivari, Vol. 101, August 8, 1891",b'14808-8.txt',1891
8710,Mrs. Humphry Ward,Missing,b'12908-8.txt',1917
4537,W. C. Brownell,French Art,b'17244-8.txt',1892
4137,Charles King,The Deserter,b'16557-8.txt',1890
3114,Richard Darlington,"A Full Description of the Great Tornado in Chester County, Pa.",b'25970.txt',1877
6447,Harry Caulton Reeks,Diseases of the Horse's Foot,b'11204-8.txt',1906
6628,Various,"The Children's Hour, Volume 3 (of 10)",b'14752-8.txt',1907
3237,A. D. Crake,Alfgar the Dane or the Second Chronicle of Aescendune,b'13305.txt',1880
3796,Mrs Mary Spring Corning,Miss Elliot's Girls,b'14610-8.txt',1886
3847,Various,The Covenants And The Covenanters,b'19100-8.txt',1886
7063,W.W. Jacobs,Dixon's Return,b'12210.txt',1909
2003,Walter R. Cassels,Poems,b'10328-8.txt',1856
7245,Mabel Quiller-Couch,Dick and Brownie,b'16969.txt',1910
9149,Robert Lynd,Old and New Masters,b'12600-8.txt',1919
4114,Various,"The American Missionary, Vol. 43, No. 8, August, 1889",b'16153-8.txt',1889
5905,Dorothy C. Paine,A Little Florida Lady,b'17165-8.txt',1903
5947,James Lane Allen,The Mettle of the Pasture,b'12482.txt',1903
3336,Wilkie Collins,My Lady's Money,b'1628.txt',1880
8746,Various,"Punch, or the London Charivari, Vol. 153, Oct. 10, 1917",b'10721-8.txt',1917
7176,H. Irving Hancock,The High School Freshmen,b'12689.txt',1910
6579,Ivan Turgenev,A Reckless Character,b'15994-8.txt',1907
5285,Charles C. Cook,A Comparative Study of the Negro Problem,b'31301.txt',1899
375,William Dampier,A Continuation of a Voyage to New Holland,b'15685.txt',1699
9668,Catherine Cotton,Experience,b'49400-0.txt',1922
9250,Bertrand W. Sinclair,Poor Man's Rock,b'16541-8.txt',1920
2245,Michael Faraday,The Chemical History Of A Candle,b'14474-8.txt',1861
6652,Yogi Ramacharaka,Mystic Christianity,b'13143-8.txt',1907
4030,Various,"The American Missionary, Vol. XLII. April, 1888. No. 4.",b'12087.txt',1888
7957,H. G. Wells,An Englishman Looks at the World,b'11502-8.txt',1914
6839,Cecil Henry Bompas,Folklore of the Santal Parganas,b'11938-8.txt',1909
80,Michel de Montaigne,"The Essays of Montaigne, Volume 14",b'3594.txt',1580
6096,Arthur M. Winfield,The Mystery at Putnam Hall,b'17636-8.txt',1904
4390,Various,"Punch, Or The London Charivari, Vol. 101, December 19, 1891",b'14186-8.txt',1891
2189,John Jay Smith,"American Historical and Literary Antiquities, Part 14.",b'7914.txt',1860
9829,Sir Frederick Hugh Sykes,Aviation in Peace and War,b'25244-8.txt',1922
8201,Ida Lee,The Logbooks of the Lady Nelson,b'7509.txt',1915
4792,Hugh M. Smith,The Salmon Fishery of Penobscot Bay and River in 1895-96,b'17039.txt',1895
6558,Erasmus W. Jones,The Young Captives,b'12792-8.txt',1907
121,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 3.",b'5905.txt',1615
7250,Mary Raymond Shipman Andrews,The Lifted Bandage,b'15894-8.txt',1910
6339,Mrs. Humphry Ward,The Marriage of William Ashe,b'14126-8.txt',1905
8955,Stephane Lauzanne,Fighting France,b'18483-8.txt',1918
87,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (3 of 6): England (6 of 9)",b'45611-8.txt',1580
7543,Eugene Field,Christmas Tales and Christmas Verse,b'17630.txt',1912
7716,Charlotte B. Herr,The Wise Mamma Goose,b'11936.txt',1913
8385,Edith Wharton,"The Early Short Fiction of Edith Wharton, Part 1 (of 10)",b'295.txt',1916
2681,F. J. Boudreaux,The Happiness of Heaven,b'25224-8.txt',1870
7295,William Henry Irwin,The House of Mystery,b'12678-8.txt',1910
9244,Arthur W. Knapp,Cocoa and Chocolate,b'19073-8.txt',1920
2578,John F. Hurst,History of Rationalism Embracing a Survey of the Present State of Protestant Theology,b'19397-8.txt',1867
3044,Mark Twain (Samuel Clemens),"The Adventures of Tom Sawyer, Part 2.",b'7194.txt',1876
4358,Various,"Punch, Volume 101, Jubilee Issue, July 18, 1891",b'13327-8.txt',1891
129,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 11.",b'5913.txt',1615
6308,J. Allanson Picton,"Pantheism, Its Story and Significance",b'11015-8.txt',1905
5314,Frank Norris,McTeague,b'165-8.txt',1899
801,Edward Bulwer-Lytton,Tomlinsoniana,b'7736.txt',1800
6888,H. Rider Haggard,Queen Sheba's Ring,b'2602-8.txt',1909
7292,W.F. Drannan,Chief of Scouts,b'12895.txt',1910
7488,Algot Lange,In The Amazon Jungle,b'14898-8.txt',1912
617,James Beattie,The Minstrel; or the Progress of Genius,b'27221-8.txt',1772
1602,Sarah Orne Jewett,The Country of the Pointed Firs,b'367.txt',1849
6126,Ernest Glanville,In Search of the Okapi,b'17615.txt',1904
8613,David Graham Phillips,Susan Lenox: Her Fall and Rise,b'450-8.txt',1917
8771,Various,"Punch, Or The London Charivari, Volume 152, March 21, 1917",b'14455-8.txt',1917
